id_devolucao;numero_nf_origem;data_devolucao;valor_devolvido;motivo_devolucao;responsavel;status_devolucao;observacao
DEV-00027;NF-100001;25/04/2025;34.33;Preço/negociação;Expedição;Cancelada;
DEV-00028;NF-102671;29/11/2025;395.08;Cliente desistiu;Qualidade;Confirmada;devolução parcial
DEV-00029;NF-102316;27/07/2025;280.67;Avaria;Comercial;Confirmada;
DEV-00030;NF-101764;02-11-25;168.62;qualidade ;Expedição;Confirmada;aguardando NF de entrada
DEV-00031;NF-100797;18/06/2026;90.52;Cliente desistiu;Logística;confirmada ;aguardando NF de entrada
DEV-00032;NF-111561;09-10-25;125.56;Avaria;Expedição;confirmada ;
DEV-00033;NF-110982;2026-07-22;474.85;Preço/negociação;Não definido;Cancelada;aguardando NF de entrada
DEV-00034;NF-111464;;211.52;Avaria;comercial;Confirmada;verificar se abate comissão
DEV-00035;NF-110541;13/03/2026;11.74;erro pedido;Qualidade;Confirmada;lançada no mês seguinte
DEV-00036;NF-102504;26/02/2025;17.13;Qualidade;Cliente;confirmada ;aguardando NF de entrada
DEV-00037;NF-109757;28/07/2026;4.20;Avaria;Qualidade;Cancelada;devolução parcial
DEV-00038;NF-102930;28/02/2026;556.73;qualidade ;comercial;confirmada ;aguardando NF de entrada
DEV-00039;NF-104604;12/05/2025;30,80;Cliente desistiu;Não definido;confirmada ;aguardando NF de entrada
DEV-00040;NF-106137;27/06/2026;50,82;Produto divergente;Comercial;Confirmada;aguardando NF de entrada
DEV-00041;NF-104487;20/02/25;189.99;erro pedido;Cliente;confirmada ;verificar se abate comissão
DEV-00042;NF-106338;06/04/2026;0.29;Qualidade;Qualidade;confirmada ;aguardando NF de entrada
DEV-00043;NF-107072;27/02/2026;18.55;erro pedido;comercial;Confirmada;lançada no mês seguinte
DEV-00044;NF-103374;11/07/2026;150.33;Preço/negociação;Expedição;Pendente;
DEV-00045;NF-103793;03/06/2026;1465.62;Qualidade;Qualidade;Confirmada;devolução parcial
DEV-00046;NF-105230;;180.22;Produto divergente;Cliente;Confirmada;
DEV-00047;NF-103077;27/09/2025;20.73;Erro de pedido;Não definido;confirmada ;devolução parcial
DEV-00048;NF-102806;;R$ 87,63;qualidade ;Qualidade;Confirmada;devolução parcial
DEV-00049;NF-107187;11/01/2026;36,32;Erro de pedido;Logística;Confirmada;verificar se abate comissão
DEV-00050;NF-100333;02/07/2026;98.50;Quebra/Avaria;Qualidade;Cancelada;devolução parcial
DEV-00051;NF-109785;02/01/2026;36.01;Cliente desistiu;Logística;Confirmada;aguardando NF de entrada
DEV-00052;NF-102190;17/03/26;308.78;Cliente desistiu;comercial;Pendente;
DEV-00053;;29/01/2026;R$ 156,56;Produto divergente;Expedição;Pendente;devolução parcial
DEV-00054;NF-108808;31-08-25;37.34;qualidade ;Qualidade;Confirmada;
DEV-00055;NF-104654;05/04/2025;59.05;Avaria;Qualidade;Confirmada;
DEV-00056;NF-106932;09/08/2025;1,55;Produto divergente;Expedição;Confirmada;
DEV-00057;NF-104990;27/06/2025;1613,35;qualidade ;Cliente;Confirmada;aguardando NF de entrada
DEV-00058;NF-111005;15/05/2025;132.67;Preço/negociação;Logística;Cancelada;
DEV-00059;NF-108507;17-03-25;R$ 6,34;Preço/negociação;Comercial;Confirmada;verificar se abate comissão
DEV-00060;NF-106862;19/07/2026;20.05;Produto divergente;Comercial;confirmada ;verificar se abate comissão
DEV-00061;NF-109271;27/01/2026;53,90;Preço/negociação;Não definido;Confirmada;aguardando NF de entrada
DEV-00062;NF-103046;27-04-25;52.53;Erro de pedido;Não definido;confirmada ;aguardando NF de entrada
DEV-00063;NF-106754;27/10/2025;47.71;Produto divergente;Qualidade;confirmada ;lançada no mês seguinte
DEV-00064;NF-109615;01/06/2025;-38.63;Erro de pedido;comercial;confirmada ;lançada no mês seguinte
DEV-00065;NF-109690;14/08/2025;71.02;erro pedido;Não definido;Pendente;lançada no mês seguinte
DEV-00066;NF-109127;25/05/2026;270.02;Quebra/Avaria;Logística;Pendente;aguardando NF de entrada
DEV-00067;NF-111834;2025-10-27;539.56;Preço/negociação;Cliente;confirmada ;lançada no mês seguinte
DEV-00068;NF-100094;23/05/2026;437.91;Erro de pedido;Cliente;Pendente;verificar se abate comissão
DEV-00069;NF-103421; 08/07/2026 ;573.88;qualidade ;Qualidade;Confirmada;lançada no mês seguinte
DEV-00070;NF-103158;22-09-25;25.99;erro pedido;Comercial;Cancelada;devolução parcial
DEV-00071;NF-105575;21/05/26;285.33;Avaria;Comercial;Pendente;verificar se abate comissão
DEV-00072;NF-104842;03/10/2025;61.42;Qualidade;Cliente;Pendente;verificar se abate comissão
DEV-00073;NF-101240;22/05/2025;202.34;Produto divergente;Comercial;Pendente;aguardando NF de entrada
DEV-00074;NF-102219;22/05/2025;246.35;qualidade ;Qualidade;Pendente;aguardando NF de entrada
DEV-00075;NF-110183;22-05-26;290.50;Preço/negociação;Expedição;Pendente;verificar se abate comissão
DEV-00076;NF-103857;06/03/25;8.40;Cliente desistiu;Comercial;Confirmada;
DEV-00077;NF-103480;2025-10-12;859.67;Avaria;comercial;Cancelada;lançada no mês seguinte
DEV-00078;NF-100070;2025-07-29;64.42;Qualidade;Cliente;Confirmada;devolução parcial
DEV-00079;NF-111791;14/08/2025;-6.94;Erro de pedido;Expedição;Pendente;
DEV-00080;NF-101179;25/03/2025;113.63;Avaria;Comercial;Cancelada;aguardando NF de entrada
DEV-00081;NF-104215;2025-04-24;93.55;Quebra/Avaria;Não definido;Pendente;
DEV-00082;NF-101778;26/09/2025;4.36;Qualidade;Não definido;Confirmada;verificar se abate comissão
DEV-00083;NF-102658;11-03-26;25.68;Qualidade;Cliente;Confirmada;
DEV-00084;NF-105283;19/04/2025;94.45;Produto divergente;Cliente;Confirmada;aguardando NF de entrada
DEV-00085;NF-103727;2025-06-18;81.01;Preço/negociação;Expedição;confirmada ;
DEV-00086;NF-109858;08/07/2026;67.46;Produto divergente;comercial;Confirmada;
DEV-00087;NF-102889;07/07/2025;25.66;Avaria;Expedição;Confirmada;aguardando NF de entrada
DEV-00088;NF-108542;22/05/2026;498,27;erro pedido;Cliente;Cancelada;verificar se abate comissão
DEV-00089;NF-100507;29-07-25;88,04;erro pedido;Logística;Confirmada;
DEV-00090;NF-107545;08/07/26;546.92;erro pedido;Cliente;Confirmada;verificar se abate comissão
DEV-00091;NF-108725;13-08-25;244.52;Produto divergente;Comercial;Confirmada;
DEV-00092;NF-108862;10/05/2025;R$ 35,71;Quebra/Avaria;comercial;Confirmada;aguardando NF de entrada
DEV-00093;NF-110409;11/06/2025;52.50;Produto divergente;comercial;Cancelada;lançada no mês seguinte
DEV-00094;NF-104838;08-11-25;131.28;Qualidade;Comercial;Pendente;verificar se abate comissão
DEV-00095;NF-104426;13-03-26;310.04;Preço/negociação;Qualidade;Cancelada;lançada no mês seguinte
DEV-00096;NF-101544;04/06/26;353.01;qualidade ;Expedição;Pendente;
DEV-00097;NF-108701;25/09/2025;0.43;Erro de pedido;Comercial;Cancelada;aguardando NF de entrada
DEV-00098;NF-101354;28-01-25;45.69;Quebra/Avaria;Qualidade;Pendente;devolução parcial
DEV-00099;NF-108093;27/06/2026;1268.97;Cliente desistiu;Não definido;Pendente;devolução parcial
DEV-00100;NF-109354;10/01/2026;114.85;Avaria;Cliente;Pendente;lançada no mês seguinte
DEV-00101;NF-105337;14/08/2026;74.40;qualidade ;Logística;Pendente;devolução parcial
DEV-00102;NF-104527;10/08/2025;13,08;Cliente desistiu;Expedição;Confirmada;devolução parcial
DEV-00103;NF-107324;27/04/2026;29.19;erro pedido;Comercial;Pendente;devolução parcial
DEV-00104;NF-105672;;147.16;Qualidade;Comercial;Confirmada;lançada no mês seguinte
DEV-00105;NF-111401;20/10/25;111.93;Qualidade;Qualidade;Confirmada;lançada no mês seguinte
DEV-00106;NF-109720;2025-04-14;34.12;Produto divergente;Não definido;Confirmada;aguardando NF de entrada
DEV-00107;NF-109415;;-2.92;Preço/negociação;Não definido;Confirmada;verificar se abate comissão
DEV-00108;NF-107373;17/03/2026;61.38;Avaria;Logística;Confirmada;lançada no mês seguinte
DEV-00109;NF-107422;16/06/2025;124.34;Cliente desistiu;Logística;confirmada ;devolução parcial
DEV-00110;NF-102898;14/07/2026;142.23;Quebra/Avaria;Qualidade;Confirmada;
DEV-00111;NF-101168;17/06/2026;826.43;erro pedido;Logística;Cancelada;
DEV-00112;NF-103732;27/04/2026;19.22;Erro de pedido;Cliente;Confirmada;devolução parcial
DEV-00113;NF-107238;09/09/2025; 724.81 ;Cliente desistiu;comercial;Confirmada;verificar se abate comissão
DEV-00114;NF-103824;01/04/2025;94.29;erro pedido;Expedição;Confirmada;aguardando NF de entrada
DEV-00115;NF-108583;05-07-26; 99.37 ;Avaria;Comercial;Confirmada;devolução parcial
DEV-00116;NF-108223;15/04/2026;82.18;Quebra/Avaria;Expedição;Confirmada;
DEV-00117;NF-106541;01/06/2025;241.24;Quebra/Avaria;Cliente;Cancelada;lançada no mês seguinte
DEV-00118;NF-100174;02-04-26;695.48;Produto divergente;Qualidade;Confirmada;lançada no mês seguinte
DEV-00119;NF-111392;16-03-26;40.90;Avaria;Comercial;Pendente;lançada no mês seguinte
DEV-00120;NF-106263;06/04/2025;414.74;Cliente desistiu;Cliente;confirmada ;lançada no mês seguinte
DEV-00121;NF-107198;30/11/2025;291.95;Avaria;Expedição;Confirmada;lançada no mês seguinte
DEV-00122;;16/04/25;25.06;qualidade ;Logística;Confirmada;lançada no mês seguinte
DEV-00123;NF-101825;12/06/2026;5.81;Erro de pedido;Expedição;Confirmada;aguardando NF de entrada
DEV-00124;NF-107045;31/07/2025;156.02;Produto divergente;Qualidade;Confirmada;devolução parcial
DEV-00125;NF-100211;;R$ 615,48;Erro de pedido;Cliente;Confirmada;lançada no mês seguinte
DEV-00126;NF-109541;2025-06-05;273.62;Avaria;Qualidade;Confirmada;verificar se abate comissão
DEV-00127;NF-110311;10/03/2026;18.18;erro pedido;Logística;Confirmada;devolução parcial
DEV-00128;NF-101810;09/02/25; 92.41 ;Preço/negociação;Logística;Confirmada;
DEV-00129;NF-111381;2025-08-11;390.95;Preço/negociação;Logística;Confirmada;verificar se abate comissão
DEV-00130;NF-104161;03/05/2026;178.44;erro pedido;Não definido;confirmada ;aguardando NF de entrada
DEV-00131;NF-107063; 16/04/2025 ;123.43;Produto divergente;Comercial;Confirmada;verificar se abate comissão
DEV-00132;NF-109310;21/11/2025;17,20;Produto divergente;Logística;Pendente;aguardando NF de entrada
DEV-00133;NF-100698;2025-10-22; 158.82 ;Cliente desistiu;Qualidade;Pendente;devolução parcial
DEV-00134;NF-108296;10-07-26;20.35;Preço/negociação;Qualidade;Pendente;lançada no mês seguinte
DEV-00135;NF-104449;27/12/2025;100.41;erro pedido;Expedição;Confirmada;verificar se abate comissão
DEV-00136;NF-106163;06-02-26;65.39;Avaria;Expedição;Cancelada;aguardando NF de entrada
DEV-00137;NF-111849;27/07/25;18.26;erro pedido;Não definido;confirmada ;devolução parcial
DEV-00138;NF-110219;06-03-26;43.63;erro pedido;Comercial;Confirmada;aguardando NF de entrada
DEV-00139;NF-109464;12/01/2026;247.60;Cliente desistiu;Expedição;Pendente;lançada no mês seguinte
DEV-00140;NF-108272;05/08/2025;16.38;Avaria;Qualidade;Cancelada;aguardando NF de entrada
DEV-00141;NF-101531;11/02/26;184.71;Quebra/Avaria;Comercial;Pendente;lançada no mês seguinte
DEV-00142;NF-111523;10/09/2025;127.91;Produto divergente;Não definido;confirmada ;verificar se abate comissão
DEV-00143;NF-101390;09/08/2026;904.39;Erro de pedido;Logística;Confirmada;devolução parcial
DEV-00144;NF-106791;20/02/2026;R$ 130,28;Erro de pedido;Comercial;Pendente;aguardando NF de entrada
DEV-00145;NF-101291;05/03/2026;130.24;Cliente desistiu;Não definido;Cancelada;aguardando NF de entrada
DEV-00146;NF-107575;01/03/2026; 9.40 ;qualidade ;Expedição;Confirmada;aguardando NF de entrada
DEV-00147;NF-105371;25-12-25;143.56;Quebra/Avaria;Logística;Pendente;verificar se abate comissão
DEV-00148;NF-109494;01/09/2025;152.94;qualidade ;comercial;Pendente;devolução parcial
DEV-00149;NF-104735;11/05/2026;R$ 30,93;Avaria;comercial;Cancelada;verificar se abate comissão
DEV-00150;NF-106527;27/07/2026;85.24;Quebra/Avaria;Qualidade;Cancelada;
DEV-00151;NF-100638;;266.88;Avaria;Qualidade;confirmada ;aguardando NF de entrada
DEV-00152;NF-106483;23/04/2026;14.95;Avaria;Não definido;confirmada ;devolução parcial
DEV-00153;NF-104204;30/04/2026;0,08;Produto divergente;Cliente;Pendente;aguardando NF de entrada
DEV-00154;NF-102998;22/03/2026;32.44;Erro de pedido;comercial;confirmada ;aguardando NF de entrada
DEV-00155;NF-103441;2026-06-02;91.21;Qualidade;Expedição;confirmada ;lançada no mês seguinte
DEV-00156;;06-01-26;5.81;Qualidade;Não definido;Pendente;lançada no mês seguinte
DEV-00157;NF-104685;2025-07-26;R$ 37,02;qualidade ;comercial;Confirmada;aguardando NF de entrada
DEV-00158;NF-103181;;334.22;Erro de pedido;Comercial;Cancelada;lançada no mês seguinte
DEV-00159;NF-102926;;58.97;qualidade ;Comercial;Confirmada;lançada no mês seguinte
DEV-00160;NF-109998;18/05/2026;R$ 33,91;Avaria;comercial;Confirmada;devolução parcial
DEV-00161;NF-101410;2025-05-13;10.35;Cliente desistiu;Cliente;Confirmada;devolução parcial
DEV-00162;NF-103649; 04/05/2026 ;100.18;qualidade ;Logística;Pendente;devolução parcial
DEV-00163;NF-110915; 12/10/2025 ; 83.35 ;erro pedido;Comercial;Confirmada;devolução parcial
DEV-00164;NF-100669;18-02-26;171.26;Preço/negociação;Comercial;Pendente;devolução parcial
DEV-00165;NF-101272;14/11/2025;34.73;Preço/negociação;Cliente;confirmada ;aguardando NF de entrada
DEV-00166;NF-100601;2025-12-30;83.42;Cliente desistiu;Expedição;Pendente;aguardando NF de entrada
DEV-00167;NF-108663;12/07/2025;59,61;Qualidade;Logística;Cancelada;verificar se abate comissão
DEV-00168;NF-106324;23/04/2025;352.54;erro pedido;Não definido;confirmada ;aguardando NF de entrada
DEV-00169;NF-101344; 20/03/2025 ;1.68;qualidade ;Logística;Confirmada;devolução parcial
DEV-00170;NF-111135;2026-06-29;550.52;Erro de pedido;Comercial;Pendente;
DEV-00171;NF-101189;14/12/2025;26.02;Erro de pedido;Expedição;Cancelada;devolução parcial
DEV-00172;NF-105484;07/09/2025;11.12;qualidade ;Cliente;Cancelada;verificar se abate comissão
DEV-00173;NF-111922;05/07/2026;28.12;Cliente desistiu;comercial;Confirmada;
DEV-00174;NF-103513;22/01/2026;146.69;erro pedido;Qualidade;Confirmada;lançada no mês seguinte
DEV-00175;NF-101503;26/07/2025;133.03;qualidade ;Comercial;Pendente;lançada no mês seguinte
DEV-00176;nf-100077;18/05/2025;118.83;erro pedido;Expedição;Confirmada;verificar se abate comissão
DEV-00177;NF-101756;14-07-26;25.26;Avaria;Cliente;Confirmada;aguardando NF de entrada
DEV-00178;NF-109156;15/03/26;18.05;Qualidade;Comercial;Pendente;devolução parcial
DEV-00179;NF-111887;25/12/25;97.11;Preço/negociação;comercial;Confirmada;lançada no mês seguinte
DEV-00180;NF-109047;28-10-25;R$ 194,67;Avaria;Cliente;Confirmada;verificar se abate comissão
DEV-00181;NF-105945;23/12/2025;979.50;Qualidade;Comercial;Pendente;
DEV-00182;NF-100089;14/02/25;1735.42;Erro de pedido;Expedição;Pendente;devolução parcial
DEV-00183;NF-111001;12/12/2025;38.96;Erro de pedido;Não definido;Confirmada;
DEV-00184;NF-110182;2025-04-27;149.95;qualidade ;Qualidade;Pendente;
DEV-00185;NF-109681;04/02/2026;3.60;erro pedido;comercial;Pendente;devolução parcial
DEV-00186;NF-100221;2026-02-25;25.40;qualidade ;Expedição;Confirmada;devolução parcial
DEV-00187;NF-102952;14-02-25;43.86;erro pedido;Não definido;Confirmada;aguardando NF de entrada
DEV-00188;NF-105286;13/10/2025;490.80;Cliente desistiu;Expedição;Confirmada;lançada no mês seguinte
DEV-00189;NF-109894;26/03/2026;165,71;erro pedido;Expedição;confirmada ;lançada no mês seguinte
DEV-00190;NF-104203;09/03/2026;50,40;Preço/negociação;Qualidade;Pendente;verificar se abate comissão
DEV-00191;NF-105466;03/08/2026;2.32;erro pedido;Cliente;Pendente;lançada no mês seguinte
DEV-00192;NF-105057;29/06/2025;41.07;Qualidade;Comercial;Confirmada;
DEV-00193;NF-102537;13/05/2026;27.66;Erro de pedido;Cliente;Confirmada;devolução parcial
DEV-00194;NF-107180;2025-06-06; 34.66 ;Quebra/Avaria;Comercial;Pendente;devolução parcial
DEV-00195;NF-102844; 09/02/2026 ;R$ 173,97;Erro de pedido;comercial;Confirmada;aguardando NF de entrada
DEV-00196;NF-110372;13-08-25;369.85;Quebra/Avaria;comercial;confirmada ;lançada no mês seguinte
DEV-00197;NF-102248;02/07/2026;66.29;Qualidade;Expedição;Cancelada;devolução parcial
DEV-00198;NF-110335;2025-04-10;182.13;qualidade ;Qualidade;Pendente;aguardando NF de entrada
DEV-00199;NF-101513;30-11-25;532.36;qualidade ;Expedição;Confirmada;devolução parcial
DEV-00200;NF-108911; 16/07/2026 ;492.82;Produto divergente;Expedição;confirmada ;devolução parcial
DEV-00201;NF-108176;27/11/2025;174.66;Preço/negociação;Cliente;confirmada ;aguardando NF de entrada
DEV-00202;NF-111342;15/09/2025;86.37;erro pedido;Expedição;Cancelada;verificar se abate comissão
DEV-00203;NF-110997;20/09/2025;44.34;Produto divergente;Comercial;confirmada ;lançada no mês seguinte
DEV-00204;NF-104170;21/09/2025;35.94;Cliente desistiu;Comercial;Confirmada;devolução parcial
DEV-00205;NF-102098;17/08/2025;2.25;Produto divergente;Cliente;Confirmada;devolução parcial
DEV-00206;NF-110242;27/05/2025;141,78;Quebra/Avaria;Não definido;confirmada ;devolução parcial
DEV-00207;NF-105166;26/04/2025;26.10;qualidade ;Comercial;Confirmada;lançada no mês seguinte
DEV-00208;NF-106916;10/02/2025;36.16;Qualidade;Qualidade;Confirmada;aguardando NF de entrada
DEV-00209;NF-100414;06/03/26;0.39;Cliente desistiu;Não definido;Cancelada;
DEV-00210;NF-109418;20-09-25;1.44;Avaria;Qualidade;Confirmada;aguardando NF de entrada
DEV-00211;NF-100666; 09/12/2025 ;8,29;Qualidade;Cliente;Confirmada;
DEV-00212;NF-108899;01-07-26;174,66;Qualidade;Comercial;Pendente;devolução parcial
DEV-00213;NF-108467; 20/07/2025 ;30.76;Avaria;comercial;Confirmada;devolução parcial
DEV-00214;NF-105596;2025-11-09;86.10;Quebra/Avaria;comercial;Confirmada;verificar se abate comissão
DEV-00215;NF-107306;20/07/2025;174.78;qualidade ;Expedição;Cancelada;lançada no mês seguinte
DEV-00216;NF-102374;28/09/2025;139.81;qualidade ;Expedição;Pendente;verificar se abate comissão
DEV-00217;NF-108029;21-05-26;2036.72;Cliente desistiu;Comercial;Confirmada;aguardando NF de entrada
DEV-00218;NF-105312;2025-07-12;242.52;qualidade ;Expedição;Pendente;devolução parcial
DEV-00219;NF-102851;2025-05-11;79.47;Quebra/Avaria;Comercial;Cancelada;devolução parcial
DEV-00220;NF-106647;30/01/26;2.26;qualidade ;Logística;Confirmada;aguardando NF de entrada
DEV-00221;NF-107396;2025-10-20; 165.25 ;Avaria;comercial;Pendente;verificar se abate comissão
DEV-00222;NF-108869;03/07/2026;50.66;Preço/negociação;comercial;Pendente;lançada no mês seguinte
DEV-00223;NF-100149;2025-11-23;2376.95;Preço/negociação;Não definido;Cancelada;devolução parcial
DEV-00224;NF-111273;21/01/2026;50.15;Cliente desistiu;Qualidade;Confirmada;
DEV-00225;NF-100341;05/08/2025;32.58;Qualidade;Comercial;Confirmada;lançada no mês seguinte
DEV-00226;NF-103320; 02/08/2025 ;14.05;qualidade ;Cliente;Confirmada;aguardando NF de entrada
DEV-00227;NF-100057;2026-01-30;149.69;Qualidade;Expedição;Cancelada;aguardando NF de entrada
DEV-00228;NF-105717;2026-07-31;52.87;Qualidade;Expedição;Confirmada;devolução parcial
DEV-00229;NF-109244;28-12-25;65.00;Cliente desistiu;Cliente;Confirmada;aguardando NF de entrada
DEV-00230;NF-103015;22/03/2025;277.89;Quebra/Avaria;Qualidade;Pendente;devolução parcial
DEV-00231;NF-109872;11/07/2025;599.60;Cliente desistiu;comercial;Confirmada;aguardando NF de entrada
DEV-00232; NF-105815 ;22/02/2026;2.70;erro pedido;Cliente;Confirmada;devolução parcial
DEV-00233;NF-110226;2026-07-25;22.02;Produto divergente;Qualidade;confirmada ;devolução parcial
DEV-00234;NF-105142;27/07/2025;66.51;Avaria;comercial;Cancelada;verificar se abate comissão
DEV-00235;NF-104069;12/09/2025;69,68;erro pedido;Logística;Confirmada;
DEV-00236;NF-111912;12/07/2025;142.49;qualidade ;Logística;confirmada ;aguardando NF de entrada
DEV-00237;NF-100185;20/04/2026;71.31;Qualidade;Não definido;Confirmada;devolução parcial
DEV-00238;NF-111289;25/10/2025;34.16;Avaria;Não definido;confirmada ;aguardando NF de entrada
DEV-00239;NF-106121; 22/07/2025 ;79.74;Quebra/Avaria;Comercial;Confirmada;aguardando NF de entrada
DEV-00240;NF-101568;17-05-25;216,09;Avaria;Cliente;Confirmada;
DEV-00241;NF-105503;06/04/2025;8.30;Avaria;Não definido;Pendente;
DEV-00242;NF-104703;11/02/2026;22.31;Cliente desistiu;comercial;Pendente;devolução parcial
DEV-00243;NF-102958;01-07-26;10.24;Avaria;Comercial;confirmada ;devolução parcial
DEV-00244;NF-110639;04/06/26;465.87;Quebra/Avaria;Qualidade;Confirmada;devolução parcial
DEV-00245;NF-111875;2025-03-28;19.19;Cliente desistiu;Não definido;Cancelada;devolução parcial
DEV-00246;NF-101207;2025-11-10;R$ 72,65;Quebra/Avaria;Comercial;Confirmada;lançada no mês seguinte
DEV-00247;NF-111444;25/02/2026;74,96;qualidade ;Logística;Pendente;aguardando NF de entrada
DEV-00248;NF-105975;24/08/25;755.26;Qualidade;Cliente;Cancelada;devolução parcial
DEV-00249;NF-108211;05/07/2026;7.09;Preço/negociação;Logística;confirmada ;devolução parcial
DEV-00250;NF-111604;15/10/2025;R$ 139,14;erro pedido;Comercial;Pendente;verificar se abate comissão
DEV-00251;NF-103125; 27/06/2025 ;31.74;Cliente desistiu;Não definido;Confirmada;aguardando NF de entrada
DEV-00252;NF-100388;25/09/2025;15.27;Cliente desistiu;Qualidade;Cancelada;lançada no mês seguinte
DEV-00253;NF-104463;2025-10-23;246.29;Avaria;comercial;Confirmada;aguardando NF de entrada
DEV-00254;NF-110710;02-07-26;60.21;Preço/negociação;Comercial;Confirmada;verificar se abate comissão
DEV-00255;NF-111594;15-12-25;154.00;erro pedido;Logística;Confirmada;lançada no mês seguinte
DEV-00256;NF-109707;2025-06-04;81,06;Erro de pedido;Qualidade;confirmada ;devolução parcial
DEV-00257;nf-101947;28/02/2026;74.69;qualidade ;Expedição;Pendente;aguardando NF de entrada
DEV-00258;NF-101314;2026-07-11;8.63;qualidade ;Logística;Confirmada;aguardando NF de entrada
DEV-00259;NF-110361;27/10/2025;87.69;erro pedido;Cliente;Confirmada;devolução parcial
DEV-00260;NF-105566;29/10/2025;R$ 46,70;Produto divergente;comercial;Confirmada;devolução parcial
DEV-00261;NF-101138;06/03/2026;20.74;Quebra/Avaria;Não definido;confirmada ;verificar se abate comissão
DEV-00262;NF-107405;19/05/2026;163.53;Erro de pedido;Não definido;Confirmada;verificar se abate comissão
DEV-00263;NF-110340;27-04-25;R$ 21,88;qualidade ;Não definido;confirmada ;verificar se abate comissão
DEV-00264;NF-100994;2026-02-02;38.21;Erro de pedido;Logística;confirmada ;verificar se abate comissão
DEV-00265;NF-100128;2026-03-13;23.02;Cliente desistiu;Não definido;Confirmada;lançada no mês seguinte
DEV-00266;NF-101049;04/05/2026;12.88;erro pedido;Logística;Cancelada;aguardando NF de entrada
DEV-00267;NF-105187;03/03/2026;361.48;Produto divergente;Expedição;confirmada ;devolução parcial
DEV-00268;NF-100636;17/03/2025;2057.33;qualidade ;Expedição;Cancelada;
DEV-00269;NF-106853;01/03/26;641.48;qualidade ;comercial;confirmada ;
DEV-00270;NF-107152;12/11/2025;185.26;Qualidade;Logística;Cancelada;devolução parcial
DEV-00271;NF-100136;03/11/2025;71.48;Cliente desistiu;Comercial;Confirmada;lançada no mês seguinte
DEV-00272;NF-109094;20/05/2026;204.92;Qualidade;Qualidade;Confirmada;devolução parcial
DEV-00273;NF-106818;2026-06-17;1473.34;Preço/negociação;Logística;Confirmada;devolução parcial
DEV-00274;NF-105524;31-05-25;133.43;Avaria;Qualidade;Confirmada;devolução parcial
DEV-00275;NF-105258;24/05/2025;327.85;Preço/negociação;Logística;Confirmada;lançada no mês seguinte
DEV-00276;NF-110821;21/07/2025;171.40;Produto divergente;Expedição;Confirmada;devolução parcial
DEV-00277;NF-104884;07/07/2026;R$ 41,74;Produto divergente;Qualidade;Confirmada;devolução parcial
