id_pedido;id_item;data_pedido;data_faturamento;codigo_cliente;cliente;grupo_cliente;vendedor_id;vendedor;codigo_produto;produto;familia_produto;quantidade;valor_unitario;valor_bruto;desconto_percentual;desconto_valor;valor_liquido_nf;status_pedido;numero_nf;estabelecimento;canal_venda;tipo_operacao;fonte_sistema;observacao
PED-2025-00025;ITEM-00025; 24/09/2025 ;2025-10-01;C0026; Zeta Interiores ;Arquitetura;V008;Henrique Martins;P0074;Perfil Box 2m;Perfis de Alumínio;1,0;50.43;50.43;14.06;7.09;43.34;faturado;NF-100025;D-Glass;WhatsApp;Venda;ConstruShow;
PED-2025-00026;ITEM-00026;25/06/2025;2025-06-29;C0004;DELTA OBRAS;Franquia;V006;Felipe Alves;P0102;Frete Especial 8;Serviços; 3 ;598.69;1796.06;94,89;1704,28; 91.78 ;BONIFICACAO;NF-100026;1-NewGlass;Venda Interna;Bonificação;Importação CSV;frete negociado
PED-2025-00027;ITEM-00027;2025-05-31;04/06/2025;C0009;Ideal Box;Representante;V002;BRUNO LIMA;P0142;Instalação 3;Serviços;N/D;719,11;719.11;8.93;64.25;654.86;devolvido parcial;NF-100027;D-Glass;Loja;Venda;ConstruShow;pedido refeito
PED-2026-00028;ITEM-00028;30/04/2026;05/05/2026;C0018;Rossi Engenharia;Consumidor Final;V003;C. Mendes;P0136;Espelho Bronze 3mm;Espelhos;2; 308.35 ;616.71;13.96;86.08;530.63;faturado;NF-100028;03-DGlass;Representante;Venda;ConstruShow;cliente pediu urgência
PED-2025-00029;ITEM-00029;25/11/25;;C0029;Curitiba Glass;Consumidor Final;V005;Elaine C.;P0109;ESPELHO PRATA 3MM;Espelhos;1;241,49;241.49;14.49;35.00;206.49;ABERTO;;02 - Link Glass;WhatsApp;Venda;ERP;verificar comissão
PED-2025-00030;ITEM-00030;28-09-25;2025-10-04;C0011;Kappa Decor;Consumidor Final;V007;GABRIELA NUNES;P0138;Perfil Porta 6m;Perfis de Alumínio; 1 ;79.29;79.29;11.94; 9.47 ;69.82;FATURADO;NF-100030;03-DGlass;Loja;Venda;Importação CSV;pedido refeito
PED-2025-00031;ITEM-00031;23/12/2025;02/01/2026;C0012;Litoral Esquadrias;Revenda;;Diego R.;P0033;Box Articulado 190cm;Box Banheiro;7;812.98;5690.88;8.07;459,00;5,231.88;faturado;NF-100031;03-DGlass;Venda Interna;Venda futura;ConstruShow;devolução em análise
PED-2025-00032;ITEM-00032;02/12/2025;2025-12-10;C0032;Forte Alumínio Ltda;Arquitetura;V006;Felipe A.;P0042;Perfil Porta 2m;Perfis de Alumínio;N/D;112.92;112.92;8.44;9.53; 103.39 ;faturado;NF-100032;03 - DGlass;E-commerce;Venda futura;Construshow;verificar comissão
PED-2025-00033;ITEM-00033;21/10/2025;21/10/2025;C0038; Master Glass ;Revenda;V007;Gabi Nunes;P0119 ;Box Frontal 190cm;Box Banheiro;1;661.40;661.40;10.91;72.15;589.25;Faturado;NF-100033;01 - New Glass;Loja;Reposição;Importação CSV;pedido refeito
PED-2025-00034;ITEM-00034;25/08/2025;05-09-25;C0023; Wall Glass ;Consumidor Final;V002;Bruno L.;P0070;PERFIL U 3M;Perfis de Alumínio;1; 214.36 ;214.36;7.69;16.49;197.87;faturado;NF-100034;01 - New Glass;E-commerce;Reposição;ERP;devolução em análise
PED-2025-00035;ITEM-00035;19/08/2025;21-08-25;C0019;Solar Alumínio;Arquitetura;V001; Ana Souza ;P0105;Box Reto 190cm;Box Banheiro;1;973.24;R$ 973,24;9.01%;87.69;885.55;Faturado;NF-100035;02 - Link Glass;Key Account;Venda futura;ERP;devolução em análise
PED-2025-00036;ITEM-00036;07/11/2025;07-11-25;C0013;Matriz Construcões;Arquitetura;V008;HENRIQUE MARTINS;P0112;Perfil Porta 6m;Perfis de Alumínio;1;56.02;56.02;6.21;3.48;52.54;Faturado;NF-100036;1-NewGlass;Loja;Venda futura;ERP;
PED-2026-00037;ITEM-00037;26/02/2026;10/03/2026;C0021; União Obras ;Construtora;V004;Diego Rocha;P0089;Box Articulado 200cm;Box Banheiro;1;811.63;R$ 811,63;12.14%; 98.51 ;713.12;Devolvido Parcial;NF-100037;1-NewGlass;Key Account;Venda;ERP;
PED-2025-00038;ITEM-00038;25/08/2025;29/08/2025;C0015; Omega Reformas ;Construtora;V005;Elaine C.;P0055;Vidro Laminado Incolor 10mm;Vidro Laminado;1;483.64;483.64;14.42%;R$ 69,73;413.91;faturado;NF-100038;D-Glass;Representante;Reposição;ConstruShow;
PED-2025-00039;ITEM-00039; 10/02/2025 ;15-02-25;C0018;Rossi Engenharia Ltda;Consumidor Final;V003;Carla Mendes;P0114;Vidro Laminado Verde 6mm;Vidro Laminado;2; 579.77 ;1159.54;10.58;122,68;1036,86;FATURADO;NF-100039;1-NewGlass;Key Account;Venda futura;Planilha manual;pedido refeito
PED-2025-00040;ITEM-00040;20/06/2025;2025-06-24;C0009;IDEAL BOX;Representante;V005;E. Costa;P0023;Vidro Laminado Incolor 8mm;Vidro Laminado;1;652,90;652,90;92.45;603.58;49,32;Bonificação;NF-100040;01 - New Glass;Key Account;Bonificação;Construshow;cliente pediu urgência
PED-2025-00041;ITEM-00041;08/08/2025;2025-08-15;C0016;Prime Glass Ltda;Consumidor Final;V005;E. Costa;P0110;Espelho Bisotê 6mm;Espelhos;1,0;277.51;277.51;41.41;114.91;162.60;Faturado;NF-100041;D-Glass;E-commerce;Reposição;Construshow;cliente pediu urgência
PED-2025-00042;ITEM-00042;25/09/2025;25-09-25;C0023;Wall Glass Ltda;Consumidor Final;V002;Bruno Lima;P0079;Kit Instalação 13;Acessórios;1;50.73; 50.73 ;96.42;48.91;1,82;Bonificação ;NF-100042;D-Glass;Loja;Bonificação;Planilha manual;
PED-2026-00043;ITEM-00043;21/01/2026;;C0039;Nobre Engenharia;Revenda;V003;Carla Mendes;P0047;Vidro Laminado Incolor 6mm;Vidro Laminado;3;442,51;1327.54;8,67;115.04;1212.50;Em aberto;;02 - Link Glass;Venda Interna;Venda;Importação CSV;pedido refeito
PED-2026-00044;ITEM-00044;03/02/26;2026-02-14;C0020;Top Vidros;Consumidor Final;V005;E. Costa;P0112;Perfil Porta 6m;Perfis de Alumínio;11,0;63.88;R$ 702,72;9,25;65.01; 637.71 ;Dev. Parcial;NF-100044;1-NewGlass;Venda Interna;Reposição;Importação CSV;frete negociado
PED-2025-00045;ITEM-00045;21/11/25;29/11/2025;C0036;JBR ESQUADRIAS;Representante;V001;Ana S.;P0076;Perfil Box 3m;Perfis de Alumínio;2;68.12;136.23;8.94;12,18;124.05;Devolvido Total;NF-100045;01 - New Glass;E-commerce;Venda;Planilha manual;pedido refeito
PED-2025-00046;ITEM-00046;31/01/2025;;C0036;JBR ESQUADRIAS;Representante;V007;GABRIELA NUNES;P0155;Dobradiça Modelo 363;Ferragens;2;236.36;472.73;12,05;56.97;415.76;Em aberto;;01 - New Glass;Key Account;Venda;Planilha manual;pedido refeito
PED-2025-00047;ITEM-00047;16/06/2025;27/06/2025;C0022;Viva Lar;Representante;V003;Carla Mendes;P0141;Vidro Laminado Acústico 10mm;Vidro Laminado;1;293.95;293,95;13.69;R$ 40,25;253.70;Dev. Parcial;NF-100047;01 - New Glass;Loja;Venda;Planilha manual;frete negociado
PED-2025-00048;ITEM-00048;01-12-25;13/12/2025;C0033;GAMA PROJETOS;Consumidor Final;V006;FELIPE ALVES;P0003;Trilho Modelo 333;Ferragens;1;152,95;152,95;4.56;6.98;145,97;faturado;NF-100048;01 - New Glass;E-commerce;Venda;Importação CSV;devolução em análise
PED-2025-00049;ITEM-00049;23/12/2025;03/01/2026;C0015;Omega Reformas;Construtora;V001; Ana Souza ;P0010;Espelho Lapidado 4mm;Espelhos;N/D;409.06;818.12;14.17;115.94;702.18;devolvido parcial;NF-100049;01 - New Glass;WhatsApp;Reposição;ERP;cliente pediu urgência
PED-2025-00050;ITEM-00050;10/05/2025;22/05/2025;C0008; Habitat Design ;Consumidor Final;V008;Henrique Martins;p0009;Box Reto 180cm;Box Banheiro;1;1126,76;1126.76;10.35%;116.65;1010.11;Faturado ;NF-100050;01 - New Glass;Venda Interna;Venda;ERP;frete negociado
PED-2025-00051;ITEM-00051;20/09/2025;22/09/2025;C0007;Gran Lux Ltda;Franquia;V003;Carla M.;P0110;Espelho Bisotê 6mm;Espelhos;2;307,14;614.28;12.28;R$ 75,41;538.87;devolvido parcial;NF-100051;03 - DGlass;E-commerce;Venda futura;ERP;frete negociado
PED-2025-00052;ITEM-00052;2025-09-24;28/09/2025;C0021;Uniao Obras;Construtora;V005;E. Costa;P0031;Lapidação 3;Serviços;3;690.30;2070.89;13.74;284.60;1786.29;FATURADO;NF-100052;03-DGlass;E-commerce;Venda;ERP;frete negociado
PED-2026-00053;ITEM-00053;02/05/26;11/05/2026;C0017;Quality Box Ltda;Construtora;V006;FELIPE ALVES;P0047;Vidro Laminado Incolor 6mm;Vidro Laminado;1;R$ 311,88;311,88;9.96;31.05;280.83;Cancel.;NF-100053;03-DGlass;E-commerce;Venda;Importação CSV;pedido refeito
PED-2025-00054;ITEM-00054;12-12-25;2025-12-20;C0036;JBR Esquadrias;Representante;V001;Ana Souza;P0060;Perfil H 4m;Perfis de Alumínio;4;329.33;1317.31;15.86;208.89;1108,42;Faturado ;NF-100054;01 - New Glass;Key Account;Venda futura;ERP;frete negociado
PED-2025-00055;ITEM-00055;2025-10-13;14/10/2025;C0036;JBR Esquadrias;Representante;V008;Henrique Martins;P0084;Vidro Laminado Verde 8mm;Vidro Laminado;6;458.99;2753.95;15.05;414.59;2339.36;devolvido parcial;NF-100055;02 - Link Glass;Loja;Venda;ConstruShow;pedido refeito
PED-2025-00056;ITEM-00056;2025-03-06;17/03/2025;C0040;Orion Decor;Franquia;V004;DIEGO ROCHA;P0139;Dobradiça Modelo 773;Ferragens;3;210.77;632.30;10.90;68,93;563.37;Cancelado;NF-100056;1-NewGlass;Representante;Reposição;Planilha manual;devolução em análise
PED-2025-00057;ITEM-00057;01/11/2025;2025-11-01;C0003;Casa Sul Esquadrias Ltda;Construtora;V002;Bruno L.;P0088;Medição Técnica 5;Serviços;2;508.85;1017.70;1.51;15.38;1,002.32;FATURADO;NF-100057;D-Glass;Loja;Reposição;ERP;pedido refeito
PED-2025-00058;ITEM-00058;04/06/2025;2025-06-11;C0016;PRIME GLASS;consumidor final;V003;Carla M.;P0025;Vidro Temperado Incolor 6mm;Vidro Temperado;N/D;289,03;289.03;11.72;33.88;255.15;Faturado;NF-100058;01 - New Glass;E-commerce;Venda futura;Planilha manual;frete negociado
PED-2025-00059;ITEM-00059;09/10/2025;20/10/2025;C0003;CASA SUL ESQUADRIAS;Construtora;V002;Bruno L.;P0145;Trilho Modelo 427;Ferragens;-2;78.26;-156.52;7.47;11.69;-168.21;Faturado ;NF-100059;1-NewGlass;Venda Interna;Venda;Construshow;devolução em análise
PED-2026-00060;ITEM-00060;01/02/2026;13-02-26;C0032;Forte Alumínio;Arquitetura;V007;G. Nunes;P0102;Frete Especial 8;Serviços;3;792.26;2376.79;23.70;R$ 563,22;1813.57;Faturado;NF-100060;03 - DGlass;Venda Interna;Reposição;Importação CSV;
PED-2025-00061;ITEM-00061;10-03-25;12/03/2025;C0025;Ypê Construções Ltda;Consumidor Final;V001;ANA SOUZA;P0022;Roldana Modelo 722;Ferragens;2;28.41;56.81;10.81;6.14;50.67;Dev. Total;NF-100061;03-DGlass;Representante;Venda;ERP;
PED-2025-00062;ITEM-00062;12/01/2025;21/01/25;C0029;CURITIBA GLASS;Consumidor Final;V001;ANA SOUZA;P0127;Box Reto 180cm;Box Banheiro;1;679,30;679.30;10.09;68.58;610.72;Faturado ;NF-100062;02 - Link Glass;Venda Interna;Venda futura;Construshow;devolução em análise
PED-2026-00063;ITEM-00063;16-02-26;17/02/2026;C0040;ORION DECOR;Franquia;V006;FELIPE ALVES;P0081;Espelho Prata 3mm;Espelhos;3;203,91;R$ 611,72;15.03; 91.96 ;R$ 519,76;devolvido parcial;NF-100063;D-Glass;Loja;Reposição;Construshow;cliente pediu urgência
PED-2025-00064;ITEM-00064;20/05/2025;;C0035;Imperial Obras Ltda;Revenda;V003;Carla Mendes;P0010;Espelho Lapidado 4mm;Espelhos;1;343.40;343.40;10.05;34.51;308.89;Em aberto;;03 - DGlass;E-commerce;Venda;Importação CSV;
PED-2026-00065;ITEM-00065;30/05/2026;06/06/2026;C0037;LINK CONSTRUÇÕES;Arquitetura;V006;F. Alves;P0064;Vidro Laminado Incolor 10mm;Vidro Laminado;2;564.75;1129.51;8.96;101.17;R$ 1.028,34;devolvido parcial;NF-100065;1-NewGlass;Venda Interna;Venda futura;Construshow;devolução em análise
PED-2025-00066;ITEM-00066;00/01/2026;2025-07-04;C0018;ROSSI ENGENHARIA;Consumidor Final;V008;Henrique M.;P0157;Instalação 2;Serviços;2;782.24;1564.48;90.16%;1410.50;153.98;Bonificacao;NF-100066;D-Glass;Venda Interna;Bonificação;ERP;verificar comissão
PED-2026-00067;ITEM-00067;08/03/2026;20/03/2026;C0004; Delta Obras ;Franquia;V002;Bruno L.;P0130;Perfil Box 6m;Perfis de Alumínio;1;236.48;236.48;9.02;21.32;215,16;Faturado;NF-100067;03 - DGlass;Loja;Venda;Importação CSV;
PED-2025-00068;ITEM-00068;28-11-25;09-12-25;C0013;Matriz Construções Ltda;Arquitetura;V003;C. Mendes;P0081;Espelho Prata 3mm;Espelhos;3;278.62;835.87;17.21;143,88;691.99;Faturado;NF-100068;03 - DGlass;E-commerce;Venda futura;ConstruShow;verificar comissão
PED-2025-00069;ITEM-00069;2025-11-17;2025-11-19;C0020;Top Vidros;Consumidor Final;V003;C. Mendes;P0042;Perfil Porta 2m;Perfis de Alumínio;1;164.79;164.79;94.92;R$ 156,41; 8.38 ;Bonificação;NF-100069;D-Glass;Loja;Bonificação;Planilha manual;pedido refeito
PED-2025-00070;ITEM-00070;12/06/2025;22/06/25;C0025;YPÊ CONSTRUÇÕES;Consumidor Final;V004;D. Rocha;P0046;Perfil Box 2m;Perfis de Alumínio;7;174.90;1224.32;8.59;105.11;1119.21;faturado;NF-100070;03-DGlass;Loja;Venda;ConstruShow;verificar comissão
PED-2025-00071;ITEM-00071;27/05/2025;06-06-25;C0022; Viva Lar ;Representante;V001; Ana Souza ;P0004;Vidro Temperado Incolor 8mm;Vidro Temperado;1;555.66;555,66;10.66;59.23;R$ 496,43;FATURADO;NF-100071;02 - Link Glass;Representante;Venda;Importação CSV;verificar comissão
PED-2025-00072;ITEM-00072;08/04/2025;13/04/2025;C0015;Omega Reformas;Construtora;V005;Elaine C.;P0001;Silicone 13;Acessórios;1,0;10,03;10.03;;1.13;8.90;Faturado ;NF-100072;D-Glass;E-commerce;Venda futura;Importação CSV;verificar comissão
PED-2026-00073;ITEM-00073;2026-03-15;23/03/2026;C0009;Ideal Box Ltda;Representante;V005;Elaine C.;P0148;Vedação 18;Acessórios;2;97.87;195.74;15.05;29.45;166.29;Devolvido Total;NF-100073;D-Glass;Representante;Reposição;Planilha manual;pedido refeito
PED-2025-00074;ITEM-00074;30/10/2025;30/10/2025;C0007;Gran Lux;Franquia;V007;GABRIELA NUNES;P0144;Vidro Temperado Fumê 10mm;Vidro Temperado;2;498.95;997.90;11.18;111.53;886.37;Faturado ;NF-100074;01 - New Glass;E-commerce;Reposição;ERP;devolução em análise
PED-2025-00075;ITEM-00075;28/12/25;;C0029; Curitiba Glass ;Consumidor Final;V007;Gabi Nunes;P0060;Perfil H 4m;Perfis de Alumínio;2,0;272,09;544.17;6.92;37,63;506.54;Faturado ;NF-100075;D-Glass;Representante;Venda;Construshow;cliente pediu urgência
PED-2025-00076;ITEM-00076;2025-05-20;25/05/2025;C0031;Estrela Box Ltda;Construtora;V007;Gabriela Nunes;P0091;Instalação 6;Serviços;2;349.86;699.72;10.32;72.23;0.00;Cancel.;NF-100076;D-Glass;Key Account;Venda;ERP;pedido refeito
PED-2025-00077;ITEM-00077;02/03/2025;12/03/2025;C0018;Rossi Engenharia;Consumidor Final;;Bruno L.;P0009;Box Reto 180cm;Box Banheiro;1;997,41;R$ 997,41;10.31;102.82;894,59;faturado;NF-100077;02 - Link Glass;Representante;Venda;Construshow;pedido refeito
PED-2025-00078;ITEM-00078;05/12/2025;09/12/25;C0010;JARDIM VIDROS;Construtora;V005;Elaine Costa;P0116;Instalação 3;Serviços;4;296.60;1186.39;23.08;273.84; 912.55 ;Faturado ;NF-100078;03 - DGlass;Representante;Venda;Importação CSV;verificar comissão
PED-2025-00079;ITEM-00079;01/11/2025; 01/11/2025 ;C0036;JBR Esquadrias;Representante;V008;H. Martins;P0073;Perfil H 6m;Perfis de Alumínio;6,0;258.85;1553.09;8.73;135.58;1417.51;faturado;NF-100079;02 - Link Glass;Key Account;Venda;ConstruShow;pedido refeito
PED-2025-00080;ITEM-00080;2025-01-09;20-01-25;C0032; Forte Alumínio ;Arquitetura;V004;D. Rocha;P0035;Vidro Temperado Fumê 6mm;Vidro Temperado;2;415,98;831.96;14.33;119,21;712.75;Faturado;NF-100080;03-DGlass;Key Account;Venda;ConstruShow;frete negociado
PED-2025-00081;ITEM-00081; 16/08/2025 ;17/08/2025;C0002;Beta Constr.;Consumidor Final;V005;E. Costa;P0031;Lapidação 3;Serviços;1;R$ 731,68;731.68;15.96;116,75;614.93;devolvido total;NF-100081;D-Glass;Loja;Venda;Importação CSV;cliente pediu urgência
PED-2025-00082;ITEM-00082;28/08/2025;2025-08-29;C0010;Jardim Vidros;Construtora;V008;Henrique Martins;P0097;Espelho Bisotê 6mm;Espelhos;2;242.65;485.30;13,05; 63.35 ;421.95;faturado;NF-100082;03-DGlass;Loja;Venda;Importação CSV;
PED-2026-00083;ITEM-00083;31/01/2026;2026-01-31;C0020;Top Vidros;Consumidor Final;V006;Felipe A.;P0053;Espelho Prata 6mm;Espelhos;4;212.53;850.10;12.97;110,27;739.83;Faturado;NF-100083;03 - DGlass;WhatsApp;Reposição;Importação CSV;frete negociado
PED-2025-00084;ITEM-00084;08/08/2025;;C0003;CASA SUL ESQUADRIAS;Construtora;V003;Carla M.;P0089;Box Articulado 200cm;Box Banheiro;2;1,037.93;2075.85;6.86;142,32;1933.53;Pedido em Aberto;;1-NewGlass;E-commerce;Reposição;ERP;devolução em análise
PED-2025-00085;ITEM-00085;02-10-25;08-10-25;C0004;Delta Obras;Franquia;V004;Diego Rocha;P0158;Frete Especial 1;Serviços;4;R$ 483,11;1932.42;93.29;1802.85;129.57;BONIFICACAO;NF-100085;03-DGlass;WhatsApp;Bonificação;ERP;frete negociado
PED-2026-00086;ITEM-00086;15/05/26;20/05/2026;C0036;JBR ESQUADRIAS;Representante;V006;Felipe A.;P0033;Box Articulado 190cm;Box Banheiro;1;R$ 816,70;816.70;;290.98;525.72;cancelado;NF-100086;03 - DGlass;Representante;Venda;Planilha manual;frete negociado
PED-2026-00087;ITEM-00087;04/06/2026;2026-06-10;C0027;Araucária Vidros;Revenda;V002;Bruno Lima;P0092;Perfil U 6m;Perfis de Alumínio;1;167.29;167.29;9.20;15.39;R$ 151,90;FATURADO;NF-100087;02 - Link Glass;E-commerce;Reposição;ConstruShow;devolução em análise
PED-2025-00088;ITEM-00088;01/02/2025;09/02/2025;C0004;Delta Obras;Franquia;V003;Carla M.;P0118;Kit Instalação 16;Acessórios;1;12.48;12.48;;R$ 1,45; 11.03 ;Faturado ;NF-100088;03 - DGlass;WhatsApp;Reposição;ERP;
PED-2025-00089;ITEM-00089;14/01/2025;18/01/2025;C0022;Viva Lar;Representante;V007;Gabriela Nunes;P0107;Lapidação 8;Serviços;6;522.93;3137,57;8,80;276.21;2,861.36;DEV PARCIAL;NF-100089;03 - DGlass;Key Account;Reposição;Importação CSV;devolução em análise
PED-2026-00090;ITEM-00090;09/01/2026;17/01/2026;C0040;Orion Decor;Franquia;V008;HENRIQUE MARTINS;P0024;Frete Especial 7;Serviços;1,0;253.20;253.20;16.23;41.09;212.11;faturado;NF-100090;D-Glass;WhatsApp;Reposição;ERP;frete negociado
